,Year,Platform,Global_Sales_Platform
0,2010,DS,121.15
1,2010,GBA,5.35
2,2010,GC,11.29
3,2010,PC,2.97
4,2010,PS2,103.42
5,2010,PS3,21.07
6,2010,PSP,55.85
7,2010,Wii,137.91
8,2010,X360,51.88
9,2010,XB,10.15
11,2011,DS,149.36
12,2011,GBA,3.43
14,2011,PC,9.4
15,2011,PS2,76.0
16,2011,PS3,73.81
17,2011,PSP,47.48
18,2011,Wii,154.97
19,2011,X360,95.84
22,2012,DS,147.89
23,2012,PC,12.67
24,2012,PS2,53.83
25,2012,PS3,119.69
26,2012,PSP,34.68
27,2012,Wii,174.16
28,2012,X360,135.76
30,2013,DS,121.99
31,2013,PC,17.16
32,2013,PS2,26.45
33,2013,PS3,132.34
34,2013,PSP,38.07
35,2013,Wii,210.44
36,2013,X360,120.85
37,2014,DS,87.98
38,2014,PC,24.46
39,2014,PS2,5.63
40,2014,PS3,144.42
41,2014,PSP,35.11
42,2014,Wii,131.8
43,2014,X360,171.05
44,2015,3DS,62.53
45,2015,DS,27.8
46,2015,PC,35.25
48,2015,PS3,159.37
49,2015,PSP,17.89
50,2015,PSV,5.15
51,2015,Wii,62.41
52,2015,X360,145.12
53,2016,3DS,51.14
54,2016,DS,11.64
55,2016,PC,23.53
56,2016,PS3,109.49
57,2016,PSP,7.72
58,2016,PSV,18.53
59,2016,Wii,22.77
60,2016,WiiU,17.84
61,2016,X360,100.88
62,2017,3DS,55.88
63,2017,DS,1.96
64,2017,PC,12.83
65,2017,PS3,117.39
66,2017,PS4,24.76
67,2017,PSP,3.19
68,2017,PSV,12.69
69,2017,Wii,9.36
70,2017,WiiU,21.84
71,2017,X360,89.61
72,2017,XOne,18.6
73,2018,3DS,43.14
75,2018,PC,13.39
76,2018,PS3,50.96
77,2018,PS4,98.76
79,2018,PSV,14.74
80,2018,Wii,4.44
81,2018,WiiU,22.51
82,2018,X360,36.42
83,2018,XOne,52.43
84,2019,3DS,26.99
85,2019,PC,8.07
86,2019,PS3,18.22
87,2019,PS4,115.3
89,2019,PSV,7.1
90,2019,Wii,1.55
91,2019,WiiU,16.38
92,2019,X360,13.05
93,2019,XOne,57.66
94,2020,3DS,6.6
95,2020,PC,2.6
96,2020,PS3,2.59
97,2020,PS4,39.25
98,2020,PSV,3.4
99,2020,WiiU,3.29
101,2020,XOne,12.37
